tmp10,tmp16,tmp22,water_rate,water_low,water_high
0.3,0.36,0.34,0.25,0.45,3.46
0.18,0.26,0.38,0.35,0.47,2.55
0.26,0.24,0.32,0.21,0.47,4.18
0.16,0.3,0.24,0.25,0.34,4.64
0.2,0.24,0.4,0.25,0.52,3.09
0.14,0.32,0.48,0.49,0.19,4.34
0.2,0.26,0.36,0.25,0.49,2.85
0.06,0.18,0.66,0.76,0.17,2.21
0.33,0.6,0.84,0.77,0.15,1.89
0.35,0.6,0.93,0.5,0.22,3.65
0.32,0.68,1.56,1.07,0.11,1.43
0.36,1.28,4.62,4.71,0.1,1.29
1.2,0.99,1.77,1.96,0.09,1.28
1.39,3.7,6.46,4.11,0.12,1.31
0.44,1.9,4.68,4.7,0.36,1.74
1.08,3.31,6,5.16,0.3,1.52
1.64,3.06,6.17,6.38,0.13,1.68
0.36,1.1,1.6,1.3,0.09,1.28
3.3,5.85,8.67,10.62,0.12,1.31
3.4,6.5,8.33,9.62,0.14,1.38
2.28,5.7,8.41,8.04,0.15,1.72
3.04,7.4,10.57,10.8,0.27,2.81
1.4,1.53,3.7,4.04,0.31,1.71
0.49,1.26,0.94,1.54,0.42,1.99
0.95,1.25,2.9,4.06,0.34,1.58
0.4,1.52,3.32,2.3,0.31,1.84
0.39,1.24,2.84,2.14,0.31,1.79
3.7,7.4,8.27,8.75,0.1,1.29
3.7,7.4,8.23,8.51,0.34,1.62
0.81,3.21,7.26,4.97,0.37,2.08
1.88,3.32,7.4,4.41,0.47,2.67
1.06,1.64,4.6,2.57,0.42,2.74
1.92,3.37,5.67,3.88,0.08,1.27
0.74,1,1.04,0.77,0.29,5.25
